Grupo_Racial,Raza_Primaria,Informacion1,,
Chapalote ,Chapalote,"Existen muy pocas colectas de esta raza, sin embargo en las últimas colectas en Sonora y Sinaloa se obtuvieron buenas muestras; es muy apreciado para hacer pinole. Las evaluaciones de características fisicoquímicas y bromatológicas de las accesiones SIN2, SIN6 (altitud 61 m, y 75 m), arrojan que el grano es muy chico (PMG 171.0 g) y con dureza de regular a duro; apropiado para palomitas o rosetas de maíz. ",,
Dentados tropicales ,Chiquito,"Raza no bien definida. Las muestras que se han colectado en las sierras del norte de Oaxaca son cónicas a semicilíndricas con la punta de la mazorca desprovista de grano, de textura cristalina a dentada y de color blanco, amarillo, anaranjado y azul. De acuerdo con Aragón et al., 2006 son materiales de porte intermedio, ciclo tardío, mazorcas de 15 a 17 cm y con 12 a 14 hileras. Se ha colectado en Oaxaca, en las regiones de la Sierra Norte y Cañada, comunidades de Concepción Pápalo, Cuyamecalco Villa de Zaragoza y Santos Reyes Pápalo, en altitudes de 1,700 a 2,170 m. Se han obtenido excelentes muestras en la Sierra Mixe en el Municipio de Tlahuitoltepec.",,
Dentados tropicales ,Choapaneco,"Se ha colectado en la región Chinanteca-Zapoteca, el el noroeste de Oaxaca, específicamente en las localidades de los municipios de San Juan Comaltepec (700 m) y Santiago Choapam (900 m). Presenta mazorcas semicilíndricas con granos dentados de coloración amarilla, roja o azul en la aleurona, el pericarpio sin color u ocasionalmente rosa o rojo; la punta de la mazorca aguzada y desprovista de granos. Tiene escaso respaldo en bancos de germoplasma. Se han obtenido colectas recientes en las áreas donde originalmente se había reportado esta raza, con características similares a las que la describen, pero se han clasificado como Tepecintle.",,
Maduración tardía,Comiteco,"Dominan la parte de altitud intermedia de Chiapas, muy productivo y presenta características variables en el tipo de mazorca debido a la influencia de razas que se distribuyen en áreas altitudinales adyacentes. Una de las razas de mazorcas muy largas. Formas blancas, amarillas, azules, negras y rojas. Recientemente se están desarrollando programas de mejoramiento para esta raza, principalmente por su calidad elotera. Forraje. Ciclo muy tardío. Se cultiva en sistemas de alta humedad; algunas variantes se siembran en épocas secas. ",,
Sierra de Chihuahua ,Serrano de Jalisco,"Raza no suficientemente estudiada, es un grupo muy variable. Es de los materiales que desarrollan en los límites superiores del piso altitudinal del cultivo del maíz; se ha colectado desde los 1500 a los 2700 m, en la zona montañosa del Volcán de Colima a los llanos de Jalisco en la zona montañosa. Son variantes muy tardías y resistentes a las heladas. Las evaluaciones de características fisicoquímicas y bromatológicas de la accesión JAL175 (altitud 1643 m) arrojan que el grano es regular, pesado (PMG 259.5 g) y duro, apropiado para elaborar botanas. ",,
Tropicales precoces,Conejo,"Conjunto de formas precoces y adaptación a suelos delgados en las costas de Oaxaca, Guerrero y Michoacán. Prolífico (produce varias mazorcas; cuatero). Debido a su precocidad es de los primeros que producen elotes y grano, y por lo tanto su producción permite esperar otras variantes de otras razas tardías. ",,
Cónico ,Cónico," Se desarrolla en las áreas y condiciones semejantes donde se distribuye Chalqueño, sin embargo su principal área de distribución obedece a áreas con baja precipitación o bien con temporal errático. Presentan un vigor de emergencia más alto que el Chalqueño y tolerancia al frío por lo que se distribuyen a mayores altitudes en las faldas de los volcanes del centro de México. Ha sido de interés para agrandar las fronteras altitudinales de la siembra de maíz. La textura de la planta al secarse es más suave y con mejor palatabilidad que los materiales mejorados, por lo que es mejor como pastura para el ganado; la mazorca es más pequeña que Chalqueño.",,
Cónico ,Cónico Norteño,"Materiales adecuados para los llanos al oriente de la Sierra Madre Occidental, norte de Guanajuato hasta el sur de Chihuahua (zonas templadas semiáridas BSh), materiales de altura arriba de 1600 a 2500 m. Formas precoces para la siembra de temporal escaso o crítico. Casi es el único material que se adapta a esas condiciones, no hay tanta diversidad de formas. Una de las razas utilizadas para el mejoramiento genético en el pasado (30 años) en toda la región semiárida; en ocasiones combina bien con materiales de la raza Bolita. ",,
Maduración tardía,Coscomatepec,"Variantes tardías, de planta robusta y grande, mazorca grande, de buen potencial de rendimiento. Distribución en las partes altas de la escarpa este de la Sierra Madre Oriental, principalmente en el estado de Veracruz. Las evaluaciones de características fisicoquímicas y bromatológicas de la accesión VER406 arroja que el grano es pequeño y duro apropiado para elaborar botanas. ",,
Sierra de Chihuahua ,Cristalino de Chihuahua,"
Se caracteriza por sus mazorcas alargadas y cilíndricas con grano de textura cristalina y semicristalina y coloraciones amarillo y blanco. Raza adaptada a gran altitud (1,900-2,200 m) en el centro-oeste y noreste del estado de Chihuahua y en la sierra Tarahumara. Se considera una de las razas más precoces de México. Tiene regular adaptación a valles altos del centro del país y buena aptitud combinatoria con materiales de esta región, aportándoles características sobresalientes y vigor híbrido. Sus usos son comunes, con muy buen rendimiento de tortilla.
",,
Dentados tropicales ,Cubano Amarillo,"Esta raza se caracteriza por sus mazorcas semi-cilíndricas de grano cristalino de color amarillo intenso a anaranjado. En Chiapas con frecuencia se les llama “Oro” por su color amarillo cristalino. Las muestras reportadas en Chiapas, conforme la información disponible, corresponden a generaciones avanzadas del híbrido Poey T-66, que la casa de semillas Poey distribuyó en México en la década de 1960.Se han obtenido recientemente muestras en el occidente del país que se han clasificado bajo esta raza.",,
Cónico ,Dulce,"Raza de maíz de mazorca cónica a semicilíndrica que se caracteriza por sus granos de diferente coloración con alto contenido de sacarosa, lo que les da una apariencia rugosa al secarse –condición por la que se denomina textura de grano “dulce”, que se aplica a otras razas que expresan esta característica. Se cultiva en el occidente del país, principalmente en los estados de Guanajuato, Jalisco, Michoacán y Zacatecas, en altitudes de 1,500 a 2,400 m. Por su grano dulce se destina principalmente para usos especiales, tales como pinole, “ponteduro”, elote, esquites y también se usa en sopas y caldos. Se considera que por estos usos especiales se ha mantenido su cultivo, aunque en escala limitada.",,
Chapalote ,Dulcillo del Noroeste,"Las muestras son pocas y en algunos lugares de la sierra de Sonora está teniendo éxito su uso en pinole y elotes y el rastrojo es muy apetecido por el ganado. Las evaluaciones de características fisicoquímicas y bromatológicas de la accesión SIN125 (altitud 150 m), arrojan que es un maíz suave y dulce apropiado para elaborar pinole, de baja absorción de agua. ",,
Maduración tardía,Dzit Bacal,"Variedades de suelos pedregosos especialmente en la península de Yucatán bajo el sistema de roza-tumba y quema (milpa). Olote delgado y flexible, variedades intermedias con diferentes colores, con diferentes usos para variar la dieta. Mayor cantidad de germen (15.3%) se puede utilizar como fuente de lípidos, gran cantidad de pericarpio (8%). Su tortilla es suave. No hay maíces mejorados para esta raza. ",,
Chapalote ,Elotero de Sinaloa,"E#sta raza se caracteriza por sus mazorcas con granos semi-harinosos de coloración rojiza a morado o negra. Se cultiva principalmente en la Mesa Central: Estado de México, Michoacán, Puebla, Tlaxcala, Hidalgo y partes altas y frías de Veracruz y en la Mixteca de Oaxaca, a alturas de 1,700 a 3,000 msnm. Por sus caracteres de color y textura de grano es muy apreciada para elotes ya que son más dulces y blandos que otros maíces de la raza Cónico con los cuales coincide en su distribución, así como para numerosos antojitos, pinoles y atoles de color. Tiene alto potencial por su alta producción de pigmentos. En la región centro del país está aumentando el uso de estos maíces de color para ofrecer tortillas o antojitos como signos de calidad o novedad.",,
Cónico ,Elotes Cónicos,"Azules, rojos y negros en la aleurona, usos especiales para elotes, harinas. Potencial para producción de pigmentos (observación general para todos los azules y rojos). En el Estado de México se está generalizando el uso de los maíces rojos para la elaboración de pinole, asimismo el uso de los maíces azules cada vez es más común encontrar restaurantes que ofrecen tortillas azules como signo de calidad o novedad. ",,
Ocho Hileras ,Elotes Occidentales,"Por sus mazorcas y granos grandes y harinosos y de sabor dulce, es destinada para usos especiales (elote, pozole y “chicales” -se remoja el maíz por tres días y se cuece en una olla con piloncillo y azúcar) en el occidente y El Bajío. En los estados del centro se aprecian también por su calidad elotera y para preparar atoles y pinoles de color. La mayor parte de las variantes conocidas son de ciclo corto, sembrada tanto en verano como en invierno para surtir de elote y grano para pozole a las ciudades cercanas. Por estas características es muy valorada, ya que al igual que otras razas para usos especiales adquiere un precio de venta, en comunidades y en mercados regionales, mayor al maíz común.",,
Sierra de Chihuahua ,Gordo,"Raza endémica del estado de Chihuahua, en la Alta y Baja Babícora y la sierra Tarahumara; se ha colectado desde el municipio de Janos, al norte, hasta el municipio de Guadalupe y Calvo, en el sur, en altitudes de 2,000 a 2,500 m. Se caracteriza por sus mazorcas alargadas y semi-elípticas con grano grande de textura harinosa, generalmente de color blanco. La textura del grano es apreciada para diferentes formas de consumo como son galletas que solo este grano les da la suavidad característica, además también es usado en sopas o bien en guisos tipo pozole o menudo. ",,
Ocho Hileras ,Harinoso de Ocho,"De esta raza no se tienen buenas muestras representativas en los bancos de germoplasma, pero en recientes visitas a la zona de distribución (Sonora Sinaloa, Nayarit) la gente lo conoce y lo recuerda. Es posible observar su influencia y algunas muestras puras. Observando poblaciones donde predomina la raza Blandito, es posible encontrar mazorcas con las características de harinoso de ocho, pero no siempre se tiene la precaución de separar y mantener formas puras de esta última, dado que lo que interesa de una forma utilitaria es la textura del grano. Algo que mantiene su cultivo es la producción de galletas llamadas Coricos, las cuales tienen una textura y sabor especial debido a la calidad y al tipo de harina que se obtiene con esta raza; también es usado el grano en sopas y pozole, así como los usos normales para tortilla y atoles. Las evaluaciones de fisicoquímicas y bromatológicas1 de las accesiones JAL16, SIN7 (altitud: 75 m y 1640 m), arrojan que el grano es grande a regular (PMG de 289.5 a 385.0g) y de dureza intermedia a dura; los genotipos de altura 1640 m, producen buen rendimiento y calidad de tortilla. ",,
Ocho Hileras ,Jala,"Conocido desde el principio del siglo XX como el maíz gigante de México por ser la raza que presenta las mazorcas más largas. Hubo excursiones de los Estados Unidos para encontrar esta variedad para el mejoramiento genético. Raza restringida al Valle de Jala en Nayarit en suelos inundados, posiblemente el único adaptado para esas condiciones. Uso en pozoles y para tortilla. La textura es predominantemente dentada pero suave. Las accesiones colectadas a 1440 m se encontraron con textura más dura, los de baja altitud de textura más suave. Se encuentra en peligro de extinción. Se lleva a cabo una feria de elote en la región en la que se compite por producir el elote más grande, esto ha permitido que perduren los materiales de esta raza, pero aún con ello sigue en riesgo de extinción. ",,
Maduración tardía,Mixeño,"Mazorcas semicilíndricas, con granos de textura cristalino, ligeramente dentado, y aleurona de color amarillo, ocasionalmente azul oscuro. Las muestras de esta raza guardan semejanzas morfológicas con maíces de la raza Olotón de Chiapas y otras razas similares de Guatemala.",,
Cónico ,Mixteco,"Se reconoce una amplia diversidad de maíces distribuidos desde el sur de Puebla hasta la Mixteca Alta en Oaxaca, que comparten características intermedias entre las razas Cónico y Chalqueño, del centro del país, con la raza Bolita de los Valles Centrales de Oaxaca y las razas Pepitilla y Ancho de Guerrero. En la Mixteca Alta, ante condiciones limitantes en precipitación y tipo de suelo, los agricultores han generado sistemas de manejo y tipos de maíces nativos adaptados a las variables condiciones de la región.",,
Maduración tardía,Motozinteco,"Raza tardía de grano dentado a semicristalino, de color blanco con frecuencia con tintes rosados y anaranjados; presenta caracteres intermedios entre Comiteco, Olotón y Tehua, de las cuales se pudo haber originado. Restringida al sureste de Chiapas en la zona de Motozintla, cerca de los límites con Guatemala, en elevaciones más bajas (950-1800 m.) y suelos marginales respecto a Comiteco.",,
Sierra de Chihuahua ,Mountain Yellow,"Muy relacionado con materiales del grupo Complejo Serrano de Jalisco. Las muestras que se han colectado se caracterizan por sus mazorcas cónicas de grano mayormente cristalino con endospermo de coloración amarilla. Los reportes actuales proceden de la Sierra de Tapalpa, en la zona montañosa del sur de Jalisco y la región colindante -Sierra de Coalcomán- en Michoacán.",,
Cónico ,Mushito,"La variante de Michoacán es el sostén y la subsistencia de las comunidades indígenas y mestizas de las partes altas de Michoacán (Meseta Purhépecha). Es adaptada a baja luminosidad. Hay formas dentadas y harinosas de color. Parecido en cierta forma a Chalqueño en formas y colores. Patrón de diferentes formas para diferentes usos. Planta muy grande, alta producción de materia seca, deseable para producir forraje. En algunos lugares altos de Jalisco y Michoacán tiene una buena adaptación en localidades cerca de la laguna de Chapala, que permite tener altos rendimientos que los maíces mejorados no han podido superar. La influencia de esta raza se observa desde las partes altas de Michoacán hasta Oaxaca aportando diversidad y buen potencial de rendimiento. En el estado de Oaxaca esta raza tiene una amplia distribución en la Sierra Sur, Mixteca Alta y Cañada, desde los 1725 a los 2574 m. Es una raza muy tardía, de porte alto de planta, mazorca larga y de grano dentado. ",,
Tropicales precoces,Nal-tel,"Es de las razas más precoces distribuida principalmente en la península de Yucatán, en la actualidad muy escasamente sembradas y poco representada en los bancos de germoplasma, por lo cual se considera en peligro de erosión genética y se requiere implementar un programa de rescate de las variantes actualmente sembradas y usadas. Se destina principalmente para elote, atoles y dulces. Raza que tiene el pericarpio más grueso, lo que propicia el contenido de mayor proteína de buena calidad en los subproductos como tortilla y pozol. Pericarpio 100 micras, suavidad intermedia y se puede utilizar para palomitas. Raza potencial para la obtención de alto contenido de fibra y germen (proporción de germen 14.3%), lo cual es muy importantes para las nuevas tendencias tecnológicas de nixtamalización ecológica en seco sin desperdicio y contaminación de agua. Parece haber resistencia genética a las plagas que atacan las hojas y al cogollo, principalmente al gusano cogollero. Las mezclas de Nal-Tel con Tuxpeño generan variantes precoces pero con mejores rendimientos y que han sido combinadas tradicionalmente por campesinos milperos en sus procesos de mejoramiento local. ",,
Dentados tropicales ,Nal-tel de Altura,"Muestras colectadas en las áreas montañosas de Oaxaca y Chiapas que presentaban características similares, llevaron a los especialistas de maíz en México a asociarlas a esta subraza, pero manejada a nivel de raza y con el término Nal-tel de Altura o Nal-tel de Tierra Fría. Para Oaxaca, se reporta su distribución en las regiones del Papaloapan, Valles Centrales, Mixteca, Sierra Sur, Cañada y Costa, en altitudes de 50 hasta 2,500 m; mencionan que es un material de ciclo intermedio, con plantas de porte medio a alto.",,
Cónico ,Negrito,"Raza no bien definida, la reportan con base en las accesiones OAX-26 y OAX-117, sin embargo se carece de una caracterización para esta raza. Se han colectado muestras de maíces de mazorcas cónicas a semicilíndricas con grano de textura dentado a cristalino de color azul oscuro y negro, en zonas altas de la Mixteca, Valles Centrales de Oaxaca y en Hidalgo, en la región Huasteca.",,
Maduración tardía,Negro de Chimaltenango,"Entre los maíces de los Altos de Chiapas se colectaron muestras similares a Olotón que por sus características de grano grande y color negro se identificaron bajo la raza Negro de Chimaltenango, raza descrita inicialmente para la zona alta de la región central de Guatemala. Esta raza está escasamente representada en los bancos de germoplasma.",,
Maduración tardía,Olotillo,"Adaptado a suelos someros, sistema de tumba-roza y quema, adecuado al sistema de milpa, partes tropicales de México. Predominan las formas blancas y amarillas pero existen variantes de los diferentes colores. Olote muy delgado y flexible. Es muy tardío. Ha disminuido su área en Chiapas y Oaxaca siendo desplazado por los Tuxpeños; se expandió en nuevas áreas de colonización. Material suave, buen rendimiento para la tortilla tradicional. La influencia de Olotillo se puede observar en gran parte de los materiales nativos del Estado de Veracruz, también se encuentra influencia en los Tuxpeños de la Huasteca Potosina. ",,
Maduración tardía,Olotón,"Dominan la parte más alta de Chiapas (arriba de 2000 m) en Motozintla y los Altos. Algunos resisten siembras tempranas antes de lluvias. Adaptación a zonas de alta nubosidad. Vigor resistente, siembra asociada a Phaseolus coccineus. También se encuentran en todos los colores. Sustento de los pueblos Tzotziles y un poco los Tzetales, y en el Soconusco de los mames y otros pueblos. Son materiales altamente productivos en esas condiciones; el grano es de textura cristalina que en cierta forma evita o reduce el daño de las plagas de almacén. ",,
Ocho Hileras ,Onaveño,"En las últimas visitas a Sonora, se estima que esta raza ha ampliado su distribución y/o prevalencia y esto se debe a que se adapta bien a las condiciones de baja humedad y tiene buenos rendimientos y para consumo humano da buena tortilla o bien buen pinole, sin embargo su éxito es que tiene buen forraje para el ganado que consumen el rastrojo directo o bien se muele la planta completa. Las evaluaciones fisicoquímicas y bromatológicas de las accesiones QRO12, SON42, (altitud: 2000 m ambas), arrojan que el grano es grande (PMG 314-343 g) y muy duro-regular; capacidad para absorber agua buena y regular, lo que lo hace apropiado para tortillas y botanas. ",,
Cónico ,Palomero de Chihuahua,"Forma adaptada, muy probablemente pariente del palomero toluqueño, en la región de la Alta Babícora de Chihuahua. Raro desde 1968 cuando se reportó. Su prevalencia quizás obedece no tanto a su rendimiento per se, si no a su capacidad de producir grano bajo condiciones que otros materiales no prosperan, es decir a bajas precipitaciones y bajas temperaturas, ya que en algunas localidades es preferible asegurar por lo menos un poco de grano y forraje, con estos genotipos que arriesgarse a no obtener nada con maíces más productivos pero con mayores requerimientos de suelo y humedad. ",,
Cónico ,Palomero de Jalisco,"Se distribuye en la región montañosa de Jalisco y laderas del volcán de Colima a altitudes de 2,600 a 2,700. A diferencia de la raza Palomero Toluqueño, es una planta un poco más vigorosa con un sistema radicular más fuerte, con mayor periodo vegetativo y las mazorcas son menos cónicas. ",,
Cónico ,Palomero Toluqueño,"En peligro de extinción, distribución escasa, región del Valle de Toluca pero también en otros lugares aislados de la parte Central Alta de México. Formas precoces. Se considera que es adecuada para palomitas, por el carácter cristalino y reventador del grano, pero en México no se han generado programas de mejoramiento del carácter palomero. Puede tener interés por prosperar en lugares fríos. Espiga pequeña, puede ser de utilidad para que no haya desperdicio de energía. En la región de Toluca está ligado a grupos indígenas y esto es quizás lo que aún lo mantiene. Se considera el grano de buena calidad para elaborar tortillas. ",,
Dentados tropicales ,Pepitilla,"Se distribuye principalmente en Morelos y Guerrero. Raza que da la mejor calidad de tortilla, calidad forrajera, brácteas suaves (totomoxtle) que se utiliza para envolver tamales. Se adapta a suelos delgados, marginales y de ladera. Generalmente de Olote delgado, y grano muy largo, sin embargo presenta una gran variación morfológica (tamaño grano, grosor de mazorca, tamaño de mazorca, cantidad de hileras, 18 a 30 hileras). Alto contenido proteico (12%), aceite (6%). En Morelos está siendo desplazado por su alto volumen y bajo peso. Tiene todos los colores (rojo muy intenso, rojo bajo, amarillo, negro). En todos los conglomerados se separa como una raza peculiar. Altitud 800 – 2000 m. Se combina con otras razas (principalmente con la raza Ancho en el estado de Guerrero), forma un continuo con otras razas. Existieron formas semejantes en el sureste de los EU. Es posible encontrar su influencia en germoplasma del altiplano en las razas Cónico Norteño, en subtrópico y trópico, quizás se deba a su buena combinación de este germoplasma con otros divergentes y/o su aportación de características que interesan a los agricultores como profundidad de grano, número de hileras, calidad de tortilla etc., lo que hace que encontremos su influencia en material diverso.",,
Maduración tardía,Quicheño,"Muestras colectadas en los setenta en localidades cercanas a San Cristóbal de Las Casas, Chiapas y en Cerro Malé, fueron asociadas a la raza Quicheño. Con fuerte similitud a la raza Olotón, esta raza en Guatemala expresa una amplia variación en tamaño de grano y forma de mazorca. Para México esta raza está muy poco representada. Su colecta original en condiciones de suelos erosionados o marginales podría indicar su correspondencia a una variante de Olotón con un bajo desarrollo.",,
Tropicales precoces,Ratón,"Formas precoces con adaptación a lugares con clima subtropical bajo temporal así como en zonas desérticas bajo riego. Poco sensible al fotoperiodo por lo que tiene enorme potencial para el mejoramiento de maíces para países de altas latitudes. Se distribuye en Tamaulipas y Coahuila, Sierra de Arteaga y en la Comarca Lagunera; adaptación del nivel de mar a 1800 m. Bajos requerimientos de humedad para producir. La aportación de germoplasma para la formación de materiales de porte bajo y con buena precocidad y para siembras en alta densidad puede ser importante de esta raza. ",,
Chapalote ,Reventador,"Raza poco representada, no existen muchas muestras sin embargo existe evidencia de su influencia en razas como Tabloncillo y Chapalote, sin embargo aún es posible encontrar buenas muestras; resiste a plagas de almacén, tiene precocidad, por su carácter reventador se puede utilizar para elaborar palomitas. Las evaluaciones fisicoquímicas y bromatológicas de las accesiones NAY15, SON184 (altitud: 100 m ambas), arrojan que el grano es chico (PMG 133.5 a 251 g), suave y regular (generalmente cristalino y reventador) apropiado para la elaboración de botanas expandidas tipo palomitas o rosetas de maíz. ",,
Maduración tardía,Serrano,Maíces de regiones de altura en las sierras Mixteca y Norte del estado de Oaxaca; mazorcas pequeñas semicilíndricas con grano cristalino a semidentado con gran variación en color. ,,
Maduración tardía,Serrano Mixe,"Maíces de mazorcas delgadas y alargadas con bajo número de hileras de grano redondo y cristalino, con tipos de colores muy variados. Su área y centro de distribución es la Sierra Mixe del estado de Oaxaca, donde se colectó y describió inicialmente. Actualmente se ha registrado un importante número de muestras en esta región, donde aún se sigue manteniendo poblaciones típicas de esta raza, adaptadas a las condiciones de ladera y temperaturas bajas de la Sierra. Para las comunidades ayuujk (mixe) representa su principal sustento.",,
Ocho Hileras ,Tablilla de Ocho,"Se considera que su área de distribución es la región de la escarpa oeste de la Sierra Madre Occidental, entre 800 y 1200 m, en el estado de Nayarit, aunque se han obtenido colectas en Jalisco, Durango, Zacatecas y recientemente en Aguascalientes, Chihuahua y Guanajuato. En sus zonas de cultivo es apreciado por su producción temprana, buen sabor de elote y tortilla y se reporta también su uso para tesgüino y pinole.",,
Ocho Hileras ,Tabloncillo,"Una de las razas de uso comercial de mayor extensión en el occidente de México, usado en elotes, tortillas, pozoles y probablemente una de las más productivas previo a la expansión de los materiales híbridos de las empresas privadas. En los últimos 10 años se ha reducido su extensión de siembra. Color blanco crema en Jalisco, buen rendimiento de tortilla, arriba del promedio. Se considera que la hibridación entre estos y los Tuxpeños del estado de Veracruz, dieron origen una variedad llamada Tampiqueño. Evidencias etnobotánicas muestran que en sus áreas de distribución loa agricultores combinan, cruzan y seleccionan poblaciones de estas razas (Tuxpeño y Tabloncillo) para tener materiales de mejores rendimientos. Excelente material como fuente de tamaño de mazorca, uniformidad, sanidad y puede presentar una buena aptitud combinatoria con materiales de alturas intermedias y tropicales del Golfo. Existen todavía muy buenas muestras en manos de los agricultores. Dentro de la diversidad de esta raza hay un gradiente en cuanto a tamaño de planta y precocidad desde plantas bajas y precoces hasta plantas altas y tardías. ",,
